t,Mem,Cpu,Comment
0,224.9,0.0,
100,225.6,10.0,
200,245.1,99.7,
301,263.4,119.7,
401,280.4,109.7,
501,296.1,109.7,
601,311.9,99.7,
702,327.8,99.7,
802,341.8,109.7,
902,355.4,119.7,
1003,369.6,99.7,
1103,382.0,109.7,
1203,394.6,109.7,
1304,407.2,109.7,
1404,418.8,109.8,
1504,431.7,99.7,
1604,443.0,109.7,
1705,455.4,99.7,
1805,466.7,119.7,
1905,478.3,99.7,
2005,489.9,109.7,
2106,501.8,99.7,
2206,512.4,109.7,
2306,524.2,109.7,
2407,535.1,109.7,
2507,546.9,99.7,
2607,557.5,109.7,
2707,568.6,99.7,
2808,580.2,119.7,
2908,590.5,99.7,
3008,602.1,109.7,
3109,612.1,109.7,
3209,624.5,99.7,
3309,634.9,109.7,
3409,645.9,109.7,
3510,656.5,99.7,
3610,666.6,119.6,
3710,677.7,89.7,
3811,687.7,109.7,
3911,698.8,109.7,
4011,709.1,109.7,
4111,719.4,109.8,
4212,730.2,109.7,
4312,740.0,109.7,
4412,749.8,99.7,
4513,759.9,109.7,
4613,769.2,99.7,
4713,779.5,109.7,
4813,789.3,109.7,
4914,799.9,109.7,
5014,809.7,99.7,
5114,817.2,109.7,
5214,817.2,109.7,
5315,817.2,109.7,
5415,817.2,119.7,
5515,817.2,109.7,
5616,817.2,129.6,
5716,817.2,119.7,
5816,817.2,109.7,
5916,817.2,109.7,
6017,817.2,129.6,
6117,817.2,109.7,
6217,817.2,109.7,
6318,817.2,109.7,
6418,818.3,119.7,
6518,820.0,109.7,
6618,821.5,119.7,
6719,823.8,109.7,
6819,825.9,119.7,
6919,828.2,109.7,
7020,830.3,109.7,
7120,835.2,119.7,
7220,837.3,109.7,
7320,839.8,109.7,
7421,842.7,109.7,
7521,845.2,119.7,
7621,847.8,119.7,
7722,849.9,109.7,
7822,852.2,109.7,
7922,854.5,109.7,
8022,856.8,119.7,
8123,858.9,109.7,
8223,859.9,119.7,
8323,864.8,109.7,
8424,869.5,109.7,
8524,873.6,119.7,
8624,878.5,109.7,
8724,883.4,99.7,
8825,888.6,119.7,
8925,895.0,109.7,
9025,899.6,109.7,
9126,904.8,119.7,
9226,909.2,109.7,
9326,914.9,99.7,
9426,919.5,119.7,
9527,923.4,119.7,
9627,928.3,109.7,
9727,932.4,109.7,
9828,936.2,119.7,
9928,940.1,109.7,
10028,944.8,109.7,
10128,952.0,109.7,tcpreplay finished
10229,959.2,99.6,
10329,966.2,119.7,
10429,972.6,109.7,
10530,979.8,109.7,
10630,987.6,109.7,
10730,993.2,119.7,
10830,1001.0,99.7,
10931,1007.7,109.7,
11031,1014.1,109.7,
11131,1021.8,109.7,
11232,1029.1,119.5,zeek terminated
